Date,Transaction
1/7/17,New York Yankees signed free agent C Wilkin Castillo to a minor league contract.
1/8/17,Detroit Tigers signed free agent LF Mike O'Neill to a minor league contract.
1/8/17,San Francisco Giants signed free agent SS Jimmy Rollins to a minor league contract and invited him to spring training.
1/9/17,Pittsburgh Pirates invited non-roster RHP Brandon Cumpton to spring training.
1/9/17,Pittsburgh Pirates invited non-roster LHP Cody Dickson to spring training.
1/9/17,Pittsburgh Pirates invited non-roster RHP Frank Duncan to spring training.
1/9/17,Pittsburgh Pirates invited non-roster RHP Tyler Eppler to spring training.
1/9/17,Pittsburgh Pirates invited non-roster LHP Jared Lakind to spring training.
1/9/17,Pittsburgh Pirates invited non-roster RHP Casey Sadler to spring training.
1/9/17,Pittsburgh Pirates invited non-roster RHP Angel Sanchez to spring training.
1/9/17,Pittsburgh Pirates invited non-roster RHP Edgar Santana to spring training.
1/9/17,Pittsburgh Pirates invited non-roster C Jin-De Jhang to spring training.
1/9/17,Pittsburgh Pirates invited non-roster C Christian Kelley to spring training.
1/9/17,Pittsburgh Pirates signed free agent C Jackson Williams to a minor league contract and invited him to spring training.
1/9/17,Pittsburgh Pirates invited non-roster SS Kevin Newman to spring training.
1/9/17,Pittsburgh Pirates invited non-roster 1B Jason Rogers to spring training.
1/9/17,Pittsburgh Pirates invited non-roster 2B Erich Weiss to spring training.
1/9/17,Pittsburgh Pirates invited non-roster 3B Eric Wood to spring training.
1/9/17,Pittsburgh Pirates invited non-roster OF Barrett Barnes to spring training.
1/9/17,Pittsburgh Pirates invited non-roster OF Austin Meadows to spring training.
1/9/17,Pittsburgh Pirates signed free agent OF Danny Ortiz to a minor league contract and invited him to spring training.
1/9/17,Houston Astros signed free agent C Luis Barajas to a minor league contract.
1/9/17,New York Mets signed free agent RHP Williams Valencia to a minor league contract.
1/9/17,Milwaukee Brewers signed free agent C Cody Decker to a minor league contract.
1/9/17,Baltimore Orioles signed free agent RHP Cody Satterwhite to a minor league contract.
1/9/17,Boston Red Sox signed free agent RHP Erik Cordier to a minor league contract.
1/9/17,Chicago Cubs signed free agent C Carlos Corporan to a minor league contract and invited him to spring training.
1/9/17,San Francisco Giants signed free agent C Travis Higgs to a minor league contract.
1/9/17,Baltimore Orioles signed free agent RHP Trey Haley to a minor league contract.
1/9/17,Cincinnati Reds signed free agent CF Leon Landry to a minor league contract.
1/9/17,Cincinnati Reds signed free agent RHP Austin Ross to a minor league contract.
1/10/17,Detroit Tigers signed free agent RHP Edward Mujica to a minor league contract and invited him to spring training.
1/10/17,Detroit Tigers signed free agent 1B Brett Pill to a minor league contract and invited him to spring training.
1/10/17,Detroit Tigers signed free agent OF Alex Presley to a minor league contract and invited him to spring training.
1/10/17,Detroit Tigers signed free agent OF Jim Adduci to a minor league contract.
1/10/17,Cleveland Indians released LHP Edwin Escobar.
1/10/17,Detroit Tigers signed free agent RHP Jake Brigham to a minor league contract.
1/10/17,Detroit Tigers signed free agent LHP Anthony Vasquez to a minor league contract.
1/10/17,Detroit Tigers signed free agent RHP Thad Weber to a minor league contract.
1/10/17,Detroit Tigers signed free agent 1B Efren Navarro to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent RHP Rubby De La Rosa to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent RHP Miller Diaz to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent RHP J.J. Hoover to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent RHP Joey Krehbiel to a minor league contract and invited him to spring training.
1/10/17,Arizona Diamondbacks signed free agent LHP Daniel Gibson to a minor league contract and invited him to spring training.
